id,value
id_0,22.15325136372163
id_1,66.03302167511676
id_2,20.142277162143362
id_3,26.070177057164276
id_4,7.033429438550705
id_5,32.56143216359955
id_6,38.7213099135565
id_7,13.81011023144593
id_8,52.78727809770931
id_9,32.18462388469731
id_10,37.17906221468288
id_11,55.19787953481028
id_12,32.87703541399029
id_13,36.689961584782345
id_14,25.372010051398266
id_15,9.745827484199394
id_16,50.627206960879064
id_17,21.369398138719347
id_18,14.613418105833112
id_19,16.09135529529546
id_20,13.027841833018412
id_21,28.521650488564266
id_22,36.33518311243086
id_23,6.908691853275352
id_24,60.250676814349426
id_25,41.92765922890447
id_26,22.968905659103125
id_27,5.775449216958839
id_28,29.28656558026775
id_29,33.504945266434625
id_30,13.205561503346974
id_31,8.22055922310916
id_32,13.446404182562548
id_33,3.241662198551589
id_34,13.876476333270015
id_35,40.08537406355446
id_36,16.55890517864823
id_37,25.007166688020877
id_38,8.432459590626346
id_39,61.74851858033174
id_40,44.74321719193059
id_41,17.478278835778074
id_42,51.49534321735646
id_43,16.43721736959983
id_44,40.83088175036881
id_45,49.29492425820876
id_46,59.841993762197944
id_47,40.56098685208523
id_48,48.933816420143444
id_49,36.62542219504825
id_50,27.364918429984428
id_51,20.51922274956899
id_52,38.292582197378394
id_53,21.69317574404192
id_54,37.38219878086101
id_55,40.417302471820584
id_56,22.70707885509425
id_57,20.716076568478304
id_58,34.61121439130887
id_59,31.410268336690493
id_60,10.525009248576783
id_61,24.68048078874438
id_62,30.258564093931106
id_63,52.95883866570253
id_64,47.76029168437784
id_65,25.074536515079572
id_66,35.575017412357695
id_67,51.95840080846683
id_68,24.818955639039107
id_69,35.9874152805671
id_70,61.68554832335511
id_71,53.67202152153877
id_72,42.58817822379515
id_73,9.51459068266979
id_74,8.561968353150352
id_75,33.99207701234164
id_76,61.59378348221658
id_77,-2.08684536773589
id_78,40.04662163401667
id_79,37.65246128699954
id_80,5.652751633284646
id_81,18.582109833543587
id_82,2.717210216069054
id_83,29.5880697673453
id_84,5.067848677811236
id_85,5.242955188419659
id_86,14.033244179136092
id_87,8.313396412525135
id_88,13.902840436652948
id_89,23.34076756771661
id_90,31.471072770982264
id_91,7.700106630981871
id_92,11.145721184655283
id_93,4.413044131746211
id_94,36.71626225793305
id_95,14.514708833177014
id_96,13.237814999125563
id_97,4.026235131832511
id_98,9.938405175455843
id_99,2.502073837585657
id_100,7.479486338655964
id_101,16.60120563221161
id_102,9.109671339558856
id_103,6.460142705765222
id_104,10.29801766369356
id_105,33.53310132689152
id_106,22.67406853627702
id_107,4.176642360011785
id_108,13.972116208766234
id_109,13.019990220033806
id_110,9.421769146612307
id_111,13.430467822022878
id_112,12.650163005806139
id_113,23.738143564059616
id_114,18.93977813319575
id_115,14.531147298518876
id_116,4.908013274110083
id_117,44.100061968895034
id_118,23.925897572195606
id_119,-1.5230421937549934
id_120,-2.462705360250296
id_121,6.688372233695565
id_122,11.511201022252715
id_123,10.139791286013129
id_124,4.880614733089013
id_125,24.64249551339158
id_126,17.01418996311273
id_127,8.342364731508669
id_128,17.024989779932337
id_129,14.698247772429871
id_130,-0.28325596534452496
id_131,31.769403857806218
id_132,12.424215176073638
id_133,24.866772612543432
id_134,22.268550036727692
id_135,18.88979173586516
id_136,7.100641282439534
id_137,18.742040732109327
id_138,75.27539113426953
id_139,63.112029766265174
id_140,28.018353651445818
id_141,16.527764510184628
id_142,20.661713725609513
id_143,4.257527809766658
id_144,8.910259184466385
id_145,8.14468747554906
id_146,16.27636358367254
id_147,6.356516126862508
id_148,10.283784095220797
id_149,13.447227221935544
id_150,43.16199278906789
id_151,18.018011649655964
id_152,21.67713684823325
id_153,10.774997499632816
id_154,13.808676877558957
id_155,24.58742510638212
id_156,18.549521319709026
id_157,32.125493522751775
id_158,0.97026824692947
id_159,17.41744436412291
id_160,43.007087395684884
id_161,15.742362267646401
id_162,57.31688629893014
id_163,15.354343249399106
id_164,32.38487536656614
id_165,22.811972448743898
id_166,18.834770341568298
id_167,-4.228674371464326
id_168,65.19963148508221
id_169,15.778712504361096
id_170,14.792483201894905
id_171,70.46789024552486
id_172,16.598074363396094
id_173,-1.1527945172843463
id_174,25.006079359100756
id_175,-1.5649527416231181
id_176,3.6823347102394717
id_177,14.698773815804216
id_178,18.074902344676783
id_179,18.634848168226508
id_180,42.62347155934079
id_181,26.34094139693592
id_182,27.350239150606615
id_183,9.927918156034151
id_184,3.2364258330717433
id_185,38.88377503125963
id_186,34.661867385828586
id_187,33.64958437414635
id_188,12.572856806994634
id_189,18.6575710199357
id_190,12.424660643821765
id_191,14.36587813145295
id_192,29.580624032972352
id_193,75.1823675993107
id_194,28.9598778924535
id_195,10.098566216059654
id_196,63.17866956290275
id_197,13.895558847752532
id_198,16.363150303724527
id_199,19.788380064064523
id_200,130.1193184842482
id_201,21.85677135822939
id_202,56.33167169082012
id_203,3.060512034791973
id_204,59.767023472987425
id_205,33.60150535299376
id_206,11.600116515808272
id_207,10.678228122809486
id_208,65.94308837543022
id_209,12.670197064604796
id_210,28.39286214911841
id_211,68.59410574315974
id_212,19.155990057680864
id_213,114.38850669159567
id_214,37.44910923585373
id_215,76.95436434942773
id_216,92.86692035124203
id_217,71.5526393765354
id_218,30.373579297022577
id_219,16.738535449893664
id_220,28.697803804233423
id_221,57.73065398438881
id_222,24.566309089479166
id_223,37.21074291709041
id_224,43.26036729555876
id_225,4.640823292844043
id_226,1.4245570437356176
id_227,74.45482603695136
id_228,28.847826546484182
id_229,-1.8548309688640225
id_230,38.77907351702712
id_231,9.461686703506098
id_232,17.6258541533312
id_233,5.414476886839169
id_234,10.298381509271312
id_235,20.655219181751693
id_236,10.307470948869094
id_237,-4.212520227006003
id_238,19.917298020244395
id_239,0.29951044768444995
